Hf	deltaHf ref=58.353600225426604
63.58096517509763	5.227364949671028
53.62794051269226	-4.725659712734341
62.803139967557186	4.4495397421305825
67.66343967896752	9.309839453540917
20.172399963947797	-38.18120026147881
52.36061710253195	-5.992983122894657
52.26183541420393	-6.091764811222674
65.83009540899435	7.476495183567749
54.795179037719905	-3.558421187706699
42.22843988978708	-16.12516033563952
74.64097113297682	16.287370907550212
54.21624402636077	-4.1373561990658345
63.944364689302134	5.59076446387553
56.28291737261749	-2.0706828528091137
92.35907822433434	34.005477998907736
95.14899807347389	36.79539784804729
35.337182362673744	-23.01641786275286
46.17284877742783	-12.180751447998773
63.33747912768446	4.983878902257857
64.66158568237803	6.307985456951428
99.83856238935256	41.48496216392596
66.6568329463778	8.3032327209512
82.62324534983124	24.269645124404633
72.56150849798429	14.207908272557688
46.992813929952504	-11.3607862954741
89.98523165796429	31.631631432537688
62.49987205801223	4.146271832585626
57.583732518979346	-0.7698677064472577
43.394423672981034	-14.95917655244557
88.57753454027694	30.22393431485034
84.70421598996542	26.350615764538816
62.22808664955734	3.874486424130737
54.185122640080195	-4.168477585346409
65.74593497915772	7.39233475373112
48.48871513180053	-9.864885093626071
54.42717194903595	-3.926428276390652
50.997092889218735	-7.356507336207869
55.68114950500673	-2.6724507204198744
82.46042571537397	24.10682548994737
80.64463224486896	22.291032019442355
63.54998502376908	5.1963847983424785
71.15460894097556	12.80100871554896
68.71418943445384	10.36058920902724
45.98328434088832	-12.370315884538286
30.75395315791026	-27.599647067516344
85.45251253906169	27.098912313635083
69.05289885784147	10.699298632414866
41.098510705164486	-17.255089520262118
76.56148724607262	18.207887020646012
105.54714464954738	47.19354442412077
50.54248754265133	-7.811112682775274
94.91011948965821	36.55651926423161
67.55047586023717	9.196875634810567
55.51032455894962	-2.843275666476984
31.47409971049707	-26.879500514929532
72.80152205733317	14.44792183190657
68.165980573737	9.812380348310398
25.777786370585787	-32.57581385484082
75.38241416017696	17.02881393475036
72.59008729928316	14.236487073856551
62.172819840536945	3.8192196151103417
71.70811621092504	13.354515985498438
-2.3883460910721936	-60.7419463164988
79.38476340972626	21.031163184299658
94.88585186123306	36.53225163580646
80.08586670001456	21.73226647458796
73.47687305207434	15.123272826647735
35.4604157729416	-22.893184452485002
41.84871837430616	-16.504881851120444
58.63688288650589	0.28328266107928357
39.19501493247732	-19.158585292949283
92.1061713197712	33.7525710943446
54.883527031030795	-3.470073194395809
71.05188724576944	12.698287020342832
97.98802010424403	39.634419878817425
63.085364030332826	4.7317638049062225
52.26582422812204	-6.087775997304561
66.80666728206485	8.453067056638247
78.40585050205915	20.05225027663255
76.95394857991484	18.600348354488233
110.99815600780563	52.64455578237903
54.99893963883075	-3.3546605865958554
31.214000913966416	-27.139599311460188
79.56254532819436	21.208945102767757
58.649283051320495	0.2956828258938913
67.85586369464433	9.502263469217723
52.05467268824647	-6.298927537180134
52.84970403211334	-5.503896193313267
63.58235210434283	5.228751878916228
34.07418420910541	-24.279416016321193
72.16688548012895	13.81328525470235
61.06405000314477	2.7104497777181678
47.39171044294268	-10.961889782483922
84.35130619847475	25.99770597304814
12.891262856705694	-45.46233736872091
70.96521030031069	12.611610074884084
103.44139670154324	45.08779647611664
49.50295365075796	-8.850646574668644
64.49706513674097	6.143464911314368
51.13820809514506	-7.215392130281543
73.50894202454289	15.155341799116286
71.83648413898551	13.482883913558908
33.234324608202556	-25.119275617224048
58.95479744523688	0.601197219810274
95.22915852177245	36.875558296345844
97.04253821806994	38.68893799264333
31.17679771489999	-27.176802510526613
73.80398859616322	15.450388370736619
77.22626573150843	18.87266550608183
30.629579922708913	-27.72402030271769
22.13184344410253	-36.221756781324075
107.91654289893701	49.562942673510406
78.07574355740577	19.72214333197917
79.90118828484334	21.54758805941674
32.696739456027686	-25.656860769398918
71.74024891841397	13.386648692987364
61.85812313602288	3.504522910596279
66.6125741415424	8.258973916115792
65.57991867172747	7.226318446300866
30.83710202759609	-27.516498197830515
63.06852762017003	4.714927394743427
67.2556574918715	8.9020572664449
44.65616233827383	-13.697437887152773
49.00540423109557	-9.348195994331036
27.635997637936057	-30.717602587490546
81.67779715640496	23.32419693097836
47.52134222392557	-10.832258001501032
65.59299894691573	7.239398721489124
6.908890248215144	-51.44470997721146
47.062746353229855	-11.290853872196749
37.41164348032977	-20.94195674509683
49.39431003902497	-8.959290186401631
37.05113080982552	-21.30246941560108
47.317907634723056	-11.035692590703547
46.04059190952172	-12.31300831590488
59.30825210896434	0.9546518835377356
100.34634835953399	41.99274813410739
39.809217115486504	-18.5443831099401
